#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_92765_length_1844_cov_115.097820	65296.09805	46260.1047503	40434.7359787	47472.236055	68985.134498	25659.0727234	96871.8350571	74694.277573	58709.4150937	71247.9252678	43203.3484591	59624.3218529	62401.2018879	48326.0344101	45569.4400173	22680.4290484	13681.3222067	20096.2252847	16898.972192	15682.0854533
NODE_92827_length_1843_cov_157.010067	26754.8850504	16211.8537567	27889.3518925	37304.671027	24961.3588088	12830.8122914	31198.9700063	17863.6932848	30755.9483863	33816.2690639	103608.282625	192685.888052	170009.529426	79682.7285924	65418.3470145	71516.2530996	106041.998016	80393.5647709	68729.2789333	75567.4714096
NODE_92944_length_1841_cov_87.329227	62887.4562928	55013.5939246	83688.0646305	81414.114271	85999.6295992	41708.4534414	108395.939021	118576.812071	89491.6599678	95431.0758304	156136.584173	119492.276224	172202.233647	126740.718466	113018.828972	46650.1686305	63867.4264943	79070.7428313	72123.6874297	81288.6290428
NODE_92983_length_1841_cov_3.769877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5139.45339191	2152.52701337	0.0	15465.7342518	7256.69233656	0.0	8041.09304776	0.0	0.0
NODE_92943_length_1841_cov_743.434490	131127.038022	220054.375698	220378.567379	258942.113284	162289.623161	104271.13277	157666.820992	240402.304046	159407.018771	175158.301719	585857.621629	443277.798286	484318.783972	364542.891196	444937.283969	205260.74053	224676.479928	250614.050884	256940.639751	305188.886655
NODE_92973_length_1841_cov_5.138858	10704.2473558	2895.45286964	2789.60169609	4523.00570267	12483.8164708	4812.51379453	3284.72502606	1624.33907302	11186.4570583	3623.96497082	6908.69794038	1284.86334798	12915.1679649	2613.20969444	1189.67230246	0.0	4561.9595476	1340.18185276	1126.93202995	0.0
NODE_93073_length_1840_cov_2.520448	0.0	2316.55354725	0.0	2261.81171897	0.0	0.0	3285.03718536	1624.52448817	4195.38607068	0.0	0.0	1458.52637488	2995.54332413	0.0	0.0	0.0	5703.08388796	0.0	0.0	0.0
NODE_93094_length_1839_cov_19.084081	1338.31846417	8108.61010411	8370.81153376	9048.4756626	4162.32141896	3208.98413113	6570.70070527	11372.959444	1398.61832539	12082.5337728	31786.836244	92402.7866001	36601.6429916	31366.4951433	55926.2353754	31106.2170872	23955.615221	27993.3601258	28178.9072967	22822.9129632
NODE_93101_length_1839_cov_11.334641	4363.08425322	3458.54950277	14285.018727	13575.4903132	7994.68471783	2077.78896875	3858.00792018	3499.87263243	3039.16322352	5381.44901189	46074.3382523	62277.1035885	36775.3582364	22491.2155591	48079.3474986	45885.5589637	12358.3531438	9202.29320219	38167.0755988	36143.6004115
NODE_93096_length_1839_cov_16.131166	0.0	579.186688082	4185.40576688	3393.17837347	0.0	3208.98413113	0.0	0.0	0.0	0.0	2802.60302824	37269.4812529	6459.11277753	7992.17042741	20304.5194042	17626.8552075	12548.1794868	12129.5525401	11271.562544	10109.8001624
