	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_30048_length_4138_cov_7.675484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23044.5619482	0.0	1075.27004244	57479.4739362	0.0	1206.86988546	91071.6870601	5125.3585679
NODE_30088_length_4134_cov_223.565335	112150.626263	22427.0659283	119318.76339	157873.281125	46708.2678419	66968.4256609	477580.905145	305726.472047	224853.463208	297679.865467	118311.591187	110562.517769	157484.343701	78658.6909865	203241.043645	54656.4762789	118810.903473	32587.955815	36840.6137295	75605.0110265
NODE_30243_length_4117_cov_229.364106	113393.667334	23501.0929201	128065.326135	184756.617566	81155.5179624	74270.3713433	515159.915878	302918.967008	254147.022045	269522.792498	141111.485041	94278.2897289	172910.450512	83317.353787	229948.196839	51845.053241	123973.959945	48294.3655533	34804.5180487	81211.0609366
NODE_30281_length_4114_cov_7.606553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11528.094773	0.0	1075.75248479	48077.0768275	0.0	3622.28845089	105239.320051	0.0
NODE_30547_length_4090_cov_8.315242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13456.3113428	0.0	4304.97105986	65073.4932128	0.0	2415.99626201	97295.5254577	1282.56466325
NODE_30560_length_4089_cov_7.100892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13456.5982038	0.0	0.0	40735.6341252	0.0	2416.04465672	99769.7138129	2565.18007434
NODE_30646_length_4082_cov_233.297244	114678.275547	18169.7199969	146826.186989	195848.178063	70144.0800101	56831.3268697	512478.174088	358517.099087	277901.308127	295811.486639	140269.550184	106068.183147	163426.107171	62537.6149477	226045.54935	50934.4567181	116884.302171	30204.7432847	32778.0252218	78249.0825814
NODE_30863_length_4064_cov_8.212023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23080.888689	0.0	1076.78025311	58499.489982	0.0	3625.87007696	95900.0065871	1283.23916805
NODE_30976_length_4056_cov_4.289428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59869.7095913	2307.07599909	0.0	1158.79560423	35539.2606206	4718.39294837	0.0	3626.45049879	9223.2407482	0.0
NODE_31087_length_4047_cov_4.093938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64870.5212903	0.0	0.0	1159.04158843	19388.4479914	5663.01109037	0.0	3627.10634965	13324.6949758	0.0
