#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_12_length_98863_cov_7.700743	268989.317942	988426.980709	324551.099806	325894.357025	297235.924611	350660.619406	96720.8326374	105163.21506	299418.949767	226880.346779	6945.0434444	133330.536242	21282.0160797	31888.6627678	12015.9410341	7926.38693476	17095.5218829	21303.1526984	16247.9964275	23773.4427415
NODE_13_length_95176_cov_23.582469	153566.368547	2784688.18712	168965.981261	157069.314872	436306.754496	467599.994099	274772.958583	462506.083265	873897.976614	579875.767743	0.0	3200.32202107	3547.4816271	9567.87333943	2002.89979262	171757.492754	705752.392083	70645.2972847	61175.9197699	85594.9223171
NODE_15_length_92393_cov_8.980062	63989.3598516	30524.4549748	12670.662907	22968.2841525	197235.860085	6800.2676414	7246.76394374	18937.9052841	26883.0971735	21597.5989268	64783.121803	34037.8026642	8869.56437802	103348.980476	162227.019754	436551.083912	153440.103451	42237.8338558	17273.25427	336356.337798
NODE_16_length_90315_cov_19.250665	232070.964617	141596.75153	168636.921013	178896.729569	160538.18341	38066.6654824	144418.388004	138911.702767	132856.047529	123056.06822	1419520.838	515346.203549	874610.901374	499756.639655	374601.895244	399947.431867	136805.327387	116640.916961	903446.417997	447074.488105
NODE_17_length_89084_cov_7.877882	0.0	0.0	0.0	908.129595133	0.0	1359.57963005	1402.15768594	2697.45684331	1165.45773797	5043.68410288	3473.70550107	2134.05393844	345958.95809	1063.40435661	31051.2664743	1179684.95571	0.0	80755.2541438	2058513.52733	42807.0193121
NODE_18_length_89025_cov_22.731078	165933.251765	2562447.59657	150289.939963	159836.052527	379886.216421	451382.299127	283240.861923	407315.395671	807665.284373	528562.24648	2315.76531209	2134.01309472	3548.33440864	9570.33259891	1001.6430847	122457.325574	548199.091849	62809.7660778	53540.0145133	61832.5652681
NODE_19_length_88262_cov_23.897332	1046687.67118	1538065.43056	239199.111337	176961.092038	496552.383417	661275.199608	1025707.60839	1782638.15739	1149551.92036	1699881.25493	66961.3520672	41615.2116162	195064.727939	98178.9035485	143241.045822	155484.195237	58122.0255694	200922.367229	59354.7957839	245407.70558
NODE_20_length_85334_cov_28.098887	163825.713657	150562.909016	486471.157735	530474.065789	170057.643016	120713.54668	396997.278124	1089786.73365	433849.680707	406387.205276	160110.715427	330857.215922	517441.252326	370075.832958	229597.82694	215442.304817	200543.713759	298247.898169	171767.361486	255455.414255
NODE_21_length_84791_cov_18.684408	20243.5340536	37003.0492775	39814.145171	41959.242999	30292.2561524	12352.7129575	10467.3478897	22153.2278927	23035.3827338	20794.0066941	328864.406618	736333.272719	72753.7740848	749867.22843	716580.301052	865470.826072	755794.550643	852478.110684	783373.280229	517251.436681
NODE_22_length_84616_cov_7.545334	167084.185889	644293.142494	205968.808936	277392.37281	228430.430243	262443.986596	91306.2960352	111131.190241	255283.014861	167571.182796	25478.4339281	63141.1672408	31940.9036097	63815.3399322	31075.2827229	28204.2327554	39910.9373286	40439.6501838	25843.5284709	33512.7094665
