	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Translation;Ribosome	18.5069533293	19.8582398644	17.2618835697	17.3722886233	18.5973492961	18.6225837427	16.1687024443	16.2885218582	17.5493413665	17.2911795498	16.3248830248	16.6052987376	16.3124975178	16.3250558149	15.9695138203	17.3733953671	17.1216780531	17.5595516863	17.0871290082	16.4488175408
Translation;mRNA	0.65201251486	0.663788846978	0.572810426706	0.571636290136	0.656605246846	0.658246402711	0.432408827159	0.473125080632	0.554516991222	0.515374939043	0.423733885654	0.511050580359	0.425997394522	0.608292047762	0.451678865725	0.652708635195	0.658535461531	0.629195942725	0.634402452787	0.573552161427
Transport and catabolism;Autophagy	0.551205513238	0.599134808715	0.520431719756	0.507296321743	0.557940812913	0.52629470784	0.415352130704	0.408203122067	0.511495142157	0.504313731082	0.376235414252	0.427159939281	0.415628348094	0.588377085155	0.420459049452	0.58174210269	0.57986183088	0.536799976355	0.470281680513	0.562346459533
Transport and catabolism;Lysosome	0.532487125327	0.554453732959	0.630882072569	0.594627896955	0.561038556944	0.429174946706	0.570651368232	0.620605896818	0.587537739394	0.600761177702	0.737317191216	0.68884388416	0.757573160196	0.700694564434	0.620886280707	0.493886907441	0.536939933415	0.550864006943	0.543487887937	0.651512252565
Transport and catabolism;Peroxisome	2.88883752327	2.89369176204	2.86205710618	2.8325284528	2.85969296147	2.76764314006	2.37118639008	2.49091265048	2.69070864414	2.61191278701	2.61487927305	2.64225084573	2.4994540416	2.56773027348	2.5952791707	2.78872347925	2.9675852823	2.69860541044	2.77512613283	2.65264630272
Xenobiotics biodegradation and metabolism;Aminobenzoate	1.68540011987	1.44200647238	1.50197337786	1.49891059752	1.61940748614	1.74198548129	1.72024678078	1.5229289351	1.66652239666	1.65628024061	1.21942022227	1.25770587439	1.27849094275	1.3471590385	1.32050431362	1.36483129062	1.45129560313	1.42581823634	1.40576543392	1.39553236747
Xenobiotics biodegradation and metabolism;Atrazine	0.436782516907	0.435770712588	0.365116680006	0.400403494118	0.460789628319	0.596994996343	0.541000127072	0.423923009133	0.44607617214	0.48421475979	0.363031200622	0.33362426915	0.307708859408	0.36484306468	0.371199773901	0.403476897512	0.414183388759	0.381639236958	0.350460689524	0.330345958341
Xenobiotics biodegradation and metabolism;Benzoate	2.53556874117	2.45246467632	2.40678229962	2.39824803836	2.43609982218	2.45004651358	1.96933864459	2.11535893795	2.253480349	2.22484913671	2.04886615335	2.20161061995	2.0078852077	2.13820076221	2.1156854235	2.42708023125	2.3409695544	2.52647206269	2.37062372326	2.29458520895
Xenobiotics biodegradation and metabolism;Caprolactam	0.584318403308	0.586597326181	0.599105194848	0.598229057904	0.605307159257	0.586866008175	0.537086791932	0.602422408879	0.539535087618	0.5599612137	0.749460084003	0.6889628301	0.74956370855	0.712768049747	0.696745236722	0.552625834935	0.536920102173	0.611008263644	0.609268118593	0.585509853348
Xenobiotics biodegradation and metabolism;Chloroalkane	3.07124697422	2.76040732811	2.79689486492	2.73865130279	2.97032062397	3.6199205523	2.51175808357	2.37915949449	2.68922093078	2.67267654781	2.02484832001	2.27270026334	2.03925873749	2.29265150843	2.2230373894	2.70957585331	2.80339691822	2.56018230775	2.51711149821	2.60464579986
Xenobiotics biodegradation and metabolism;Chlorocyclohexane	0.84950610375	0.694940107919	0.742887620944	0.763964782053	0.787679093965	0.941136516497	0.93519470232	0.7788932005	0.832746548048	0.87970306934	0.657441708593	0.754692221862	0.691925314042	0.642548393515	0.742779655097	0.697569405403	0.70327538145	0.66802386924	0.711705068813	0.613901238261
Xenobiotics biodegradation and metabolism;Drug	5.19038031532	5.20685895954	4.98199845413	4.92678832067	5.14515613928	5.54171015964	4.29478838564	4.33062480349	4.79434927498	4.65280945503	4.04009022122	4.30107594342	4.01985111723	4.40824126753	4.29258483846	5.14720575682	5.16179384711	5.13763442674	4.96891466465	4.85759966631
Xenobiotics biodegradation and metabolism;Ethylbenzene	0.361989984756	0.324158500612	0.268678745662	0.276455850107	0.347095158783	0.438464600991	0.254057589876	0.2473016409	0.276108440976	0.265320040882	0.226220837063	0.241122856774	0.299453574063	0.23577475533	0.235467887963	0.21444212639	0.219862398554	0.227164312029	0.232156123009	0.22155377456
Xenobiotics biodegradation and metabolism;Metabolism	1.37243569926	1.23364578947	1.26426994089	1.21114704584	1.3425340942	1.58744702279	1.10557777889	1.01062068669	1.17420146039	1.18704422973	0.717740139848	0.822816500956	0.700502018549	0.915693641697	0.806877028921	1.14980082034	1.21382242221	1.06090648157	1.0670489656	1.0766722615
Xenobiotics biodegradation and metabolism;Naphthalene	1.3679457126	1.29422261531	1.35432006866	1.27320852371	1.37161120288	1.59948861353	0.869089482941	0.887980275427	1.08720482083	1.08057032412	0.667782402931	0.826822900306	0.615985165416	0.913698396699	0.760915254882	1.18584715714	1.21591013243	1.1539945493	1.08806577002	1.13660217033
Xenobiotics biodegradation and metabolism;Nitrotoluene	0.827757512927	0.795284231084	0.800134467202	0.715136633621	0.793570390915	0.762186005019	0.551267868217	0.583849598411	0.681020526151	0.627052551946	0.538346584529	0.467366722677	0.535477671642	0.589652064274	0.479288925089	0.693423340419	0.599177267302	0.759215769305	0.655562924063	0.695339605973
Xenobiotics biodegradation and metabolism;Styrene	0.765282721061	0.643163211261	0.725830033696	0.73467195293	0.7144276119	0.871218249658	1.00315332188	0.830604681374	0.846691994895	0.880518760541	0.652337713677	0.688890857409	0.664084855879	0.61266499533	0.7068201706	0.649212245347	0.642314943458	0.645019031121	0.637460727177	0.618495783271
