Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Metabolism;Biosynthesis of other secondary metabolites;Betalain	21.7419139962	13.001010997	14.3502879915	12.6155439987	22.8838770122	2.34267300098	12.8490390023	8.94756100147	6.183384	5.62216900058	20.3250580036	10.5696720015	37.0506460036	54.5404880038	9.13405299985	6.97216099889	11.1430219986	4.70977399943	17.4009540061	16.1557409886
Metabolism;Carbohydrate metabolism;Glycolysis	33654.1368721	33372.3302132	29862.2287192	29711.1525849	31977.7246641	36494.1617554	30768.5514696	29164.6689728	31287.363012	31353.9812482	24534.7207003	28915.753689	26003.0297305	24669.2472067	27994.4767925	33677.6481456	32970.8360399	30949.0731323	30985.4253259	29753.3101
Cellular Processes;Cellular community - eukaryotes;Signaling	7.09906299876	3.76177599912	5.80647399654	6.95837199928	4.00318500214	8.41968200354	7.45826500136	8.04337900131	4.92329	9.61207400098	7.97636100141	10.8572200015	11.7160360011	26.5112180019	7.14664899988	6.286346999	8.28129199898	6.60694299921	5.37274400189	8.57191599395
Metabolism;Glycan biosynthesis and metabolism;Lipopolysaccharide	529.957941908	339.86484192	495.295239705	568.431696941	368.712492197	264.730371112	1216.71323522	1018.21465417	781.796127999	847.629535086	884.607659156	1106.76260015	1001.5496901	1064.62853308	1120.94859498	711.245642887	602.279344925	823.007300901	716.856915251	774.779325452
Environmental Information Processing;Signal transduction;Wnt	25.3083909956	14.7866429965	21.1178579874	23.4441829976	20.0643410107	30.811109013	28.5707020052	32.4266370053	26.218582	35.1361270036	25.9783800046	42.4832850059	41.338885004	99.157995007	29.1144829995	23.1600029963	28.3823289965	26.6439419968	19.856772007	32.7424229769
Metabolism;Metabolism of terpenoids and polyketides;Carotenoid	2179.59148162	1884.08309756	1982.44111182	2038.65917579	1964.50596705	1999.49456184	2625.07590948	2087.23086534	2216.464675	2293.01345723	1818.53016832	1967.67103127	1974.50718919	1619.81251911	2006.69931897	2231.71877164	2158.36061173	1910.28860177	2051.76310572	1843.4401907
Metabolism;Metabolism of terpenoids and polyketides;Terpenoid	13175.7547067	12612.600517	11462.8734142	11553.9327158	12694.6994168	12879.1885704	11923.2026912	11241.4976938	12318.829162	12116.4915902	9552.18109869	11077.8407985	10219.978898	9356.95442866	11001.0058048	12299.555882	11965.6394375	11497.8866036	11550.1146971	11121.1954061
Metabolism;Biosynthesis of other secondary metabolites;Indole	21.3919149963	11.0862979974	10.123271994	8.09492399915	20.9575650112	1.6740570007	10.995181002	7.24855100119	5.631512	4.8210510005	17.2553100031	8.27263800115	30.2917750029	10.6364110008	6.0949609999	6.57289799895	5.36400899933	4.39078699947	16.0097460056	12.6117449911
Metabolism;Metabolism of terpenoids and polyketides;Limonene	3266.52795343	3032.82739729	2643.31632543	2682.26662472	3008.31827761	3727.43244357	3032.97128455	2906.76118548	2986.138248	2970.4184133	2511.46569244	2867.5777584	2716.62352227	2592.87049318	2890.21985395	3122.6563205	3364.05711558	2914.20832165	2782.46491898	2888.07980096
Metabolism;Metabolism of terpenoids and polyketides;Zeatin	200.349474965	198.626881953	282.737174831	243.245642974	185.179666099	164.321728069	388.217818071	398.190232065	272.76863	301.47127703	504.696326089	468.539252065	548.331376053	415.445270029	539.01820099	230.828058963	258.999181968	286.624251966	282.396617099	276.332830805
Metabolism;Metabolism of terpenoids and polyketides;Sesquiterpenoid	534.810632907	499.415085883	377.673145775	384.97134196	502.216474269	597.755993251	617.075275112	488.84689008	515.248248999	515.732947053	346.514871061	326.084428045	309.12246503	290.664197021	393.048414993	455.421233927	423.177171947	418.25544795	430.498885151	375.364914735
Metabolism;Metabolism of cofactors and vitamins;Porphyrin	18802.6711337	18403.9503387	16485.7404632	17202.2689422	17409.0704993	20626.3482457	20680.1643288	18179.483795	19711.416844	20160.4686181	14405.1535265	16957.4171844	15277.9198825	14002.729737	16649.7105777	20848.5299727	20443.1778045	17641.4367739	18359.8273654	16993.559815
Cellular Processes;Transport and catabolism;Mitophagy	14.5359689975	10.2207859976	22.9821579863	21.5709009977	14.1739510076	20.3114720085	27.262173005	29.1016380048	21.69101	31.3986960032	14.5649890026	33.2779250046	29.2860270029	57.6576150041	24.7106339996	15.2113049976	23.3549639971	17.3456299979	10.7498260038	25.467282982
